num_records,num_bins,beta,gamma,sigma,eps_comp,eps_actual,delta,mech,rt
114514,256,1e-05,32.0,50.969205977598364,0.125,490873861.31527656,1e-10,GM,0.05978584289550781
114514,256,1e-05,32.0,50.969205977598364,0.125,490873861.31527656,1e-10,GPM,0.14304399490356445
114514,256,0.0001,32.0,50.969205977598364,0.125,4908745.41052047,1e-10,GM,0.060601234436035156
114514,256,0.0001,32.0,50.969205977598364,0.125,4908745.41052047,1e-10,GPM,0.13463735580444336
114514,256,0.001,32.0,50.969205977598364,0.125,49091.971913665046,1e-10,GM,0.05792379379272461
114514,256,0.001,32.0,50.969205977598364,0.125,49091.971913665046,1e-10,GPM,0.1409912109375
114514,256,0.01,32.0,50.969205977598364,0.125,493.1579683066198,1e-10,GM,0.059511661529541016
114514,256,0.01,32.0,50.969205977598364,0.125,493.1579683066198,1e-10,GPM,0.13390779495239258
