dataset,model,pretrained,l2_mean,l2_median,l2_diff_mean,l2_diff_median
mnist,lenet,False,0.28183819934468723,0.2759944032597454,0.022581494770398253,0.02363897934759133
mnist,lenet,True,0.19858192121992424,0.08046072762507599,0.008491960806911359,2.2497127659918017e-06
cifar10,vgg19_bn,False,11.122723635832259,10.750351301263878,1.333734715167683,1.2017593063873424
cifar10,vgg19_bn,True,13.214984619039301,13.138239695071643,1.3011456686476919,1.0424343268659912
cifar10,resnet50,False,1050.4861969583417,1035.4885320465892,130.37532957772342,115.5281604604479
cifar10,resnet50,True,2.9478310256937186,2.9390579312829987,0.3510371521547225,0.3359393851648709
cifar10,mobilenet_v2,False,10.586852762554868,10.48196861064704,1.311808313035106,1.2993370493181178
cifar10,mobilenet_v2,True,6.108408039186099,6.076072993710851,0.6901184200518339,0.6430495831281104
