num_records,num_bins,beta,gamma,sigma,eps_comp,eps_actual,delta,mech,rt
114514,65536,1e-05,512.0,50.969205977598364,0.125,490873861.3153242,1e-10,GM,0.7711648941040039
114514,65536,1e-05,512.0,50.969205977598364,0.125,490873861.3153242,1e-10,GPM,1.7904400825500488
114514,65536,0.0001,512.0,50.969205977598364,0.125,4908745.41056822,1e-10,GM,0.7615876197814941
114514,65536,0.0001,512.0,50.969205977598364,0.125,4908745.41056822,1e-10,GPM,1.7820143699645996
114514,65536,0.001,512.0,50.969205977598364,0.125,49091.9719614152,1e-10,GM,0.7724833488464355
114514,65536,0.001,512.0,50.969205977598364,0.125,49091.9719614152,1e-10,GPM,1.7896771430969238
114514,65536,0.01,512.0,50.969205977598364,0.125,493.15801610489876,1e-10,GM,0.7782459259033203
114514,65536,0.01,512.0,50.969205977598364,0.125,493.15801610489876,1e-10,GPM,1.755220890045166
114514,65536,0.1,512.0,50.969205977598364,0.125,4.890317390850778,1e-10,GM,0.7673406600952148
114514,65536,0.1,512.0,50.969205977598364,0.125,4.890317390850778,1e-10,GPM,1.7473745346069336
114514,65536,1e-05,512.0,25.52372208700381,0.25,490873861.3153242,1e-10,GM,0.7808661460876465
114514,65536,1e-05,512.0,25.52372208700381,0.25,490873861.3153242,1e-10,GPM,1.7925119400024414
114514,65536,0.0001,512.0,25.52372208700381,0.25,4908745.41056822,1e-10,GM,0.7843613624572754
114514,65536,0.0001,512.0,25.52372208700381,0.25,4908745.41056822,1e-10,GPM,1.8179845809936523
114514,65536,0.001,512.0,25.52372208700381,0.25,49091.9719614152,1e-10,GM,0.7562828063964844
114514,65536,0.001,512.0,25.52372208700381,0.25,49091.9719614152,1e-10,GPM,1.765143871307373
114514,65536,0.01,512.0,25.52372208700381,0.25,493.15801610489876,1e-10,GM,0.7473921775817871
114514,65536,0.01,512.0,25.52372208700381,0.25,493.15801610489876,1e-10,GPM,1.7756271362304688
